island,presence,species,body_mass_g,winter_active
Oak,1,SOCI,4.66,1
Stockton,1,SOCI,4.66,1
Michigan,0,BLBR,28,1
Sand,0,BLBR,28,1
North Twin,0,BLBR,28,1
York,0,BLBR,28,1
Raspberry,0,BLBR,28,1
Manitou,0,BLBR,28,1
Otter,0,BLBR,28,1
Hermit,0,BLBR,28,1
Basswood,1,BLBR,28,1
Rocky,0,BLBR,28,1
Cat,0,BLBR,28,1
Ironwood,0,BLBR,28,1
Outer,0,BLBR,28,1
South Twin,0,BLBR,28,1
Bear,0,BLBR,28,1
Devils,0,BLBR,28,1
Mainland,1,BLBR,28,1
Oak,1,BLBR,28,1
Stockton,0,BLBR,28,1
Michigan,0,MIPE,36.75,1
Sand,0,MIPE,36.75,1
North Twin,0,MIPE,36.75,1
York,0,MIPE,36.75,1
Raspberry,0,MIPE,36.75,1
Manitou,0,MIPE,36.75,1
Otter,0,MIPE,36.75,1
Hermit,0,MIPE,36.75,1
Basswood,0,MIPE,36.75,1
Rocky,0,MIPE,36.75,1
Cat,0,MIPE,36.75,1
Ironwood,0,MIPE,36.75,1
Outer,0,MIPE,36.75,1
South Twin,0,MIPE,36.75,1
Bear,0,MIPE,36.75,1
Devils,0,MIPE,36.75,1
Mainland,1,MIPE,36.75,1
Oak,0,MIPE,36.75,1
Stockton,1,MIPE,36.75,1
Michigan,0,ZAHU,17.12,0
Sand,0,ZAHU,17.12,0
North Twin,0,ZAHU,17.12,0
York,0,ZAHU,17.12,0
Raspberry,0,ZAHU,17.12,0
Manitou,0,ZAHU,17.12,0
Otter,0,ZAHU,17.12,0
Hermit,0,ZAHU,17.12,0
Basswood,0,ZAHU,17.12,0
Rocky,0,ZAHU,17.12,0
Cat,0,ZAHU,17.12,0
Ironwood,0,ZAHU,17.12,0
Outer,0,ZAHU,17.12,0
South Twin,0,ZAHU,17.12,0
Bear,0,ZAHU,17.12,0
Devils,0,ZAHU,17.12,0
Mainland,1,ZAHU,17.12,0
Oak,0,ZAHU,17.12,0
Stockton,0,ZAHU,17.12,0
Michigan,0,TAST,111.91,0
Sand,0,TAST,111.91,0
North Twin,0,TAST,111.91,0
York,0,TAST,111.91,0
Raspberry,0,TAST,111.91,0
Manitou,0,TAST,111.91,0
Otter,0,TAST,111.91,0
Hermit,0,TAST,111.91,0
Basswood,0,TAST,111.91,0
Rocky,0,TAST,111.91,0
Cat,0,TAST,111.91,0
Ironwood,0,TAST,111.91,0
Outer,0,TAST,111.91,0
South Twin,0,TAST,111.91,0
Bear,0,TAST,111.91,0
Devils,0,TAST,111.91,0
Mainland,1,TAST,111.91,0
Oak,0,TAST,111.91,0
Stockton,0,TAST,111.91,0
Michigan,0,GLVO,63.87,0
Sand,0,GLVO,63.87,0
North Twin,0,GLVO,63.87,0
York,0,GLVO,63.87,0
Raspberry,0,GLVO,63.87,0
Manitou,0,GLVO,63.87,0
Otter,0,GLVO,63.87,0
Hermit,0,GLVO,63.87,0
Basswood,0,GLVO,63.87,0
Rocky,0,GLVO,63.87,0
Cat,0,GLVO,63.87,0
Ironwood,0,GLVO,63.87,0
Outer,0,GLVO,63.87,0
South Twin,0,GLVO,63.87,0
Bear,0,GLVO,63.87,0
Devils,0,GLVO,63.87,0
Mainland,1,GLVO,63.87,0
Oak,0,GLVO,63.87,0
Stockton,0,GLVO,63.87,0
